379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
37,320,23
28,328,24
16,339,28
10,341,31
6,342,32
7,340,34
7,338,33
8,338,34
7,338,40
6,333,43
6,330,45
6,328,45
8,326,48
8,323,49
6,324,51
7,321,54
6,319,57
8,314,61
6,312,61
7,311,69
7,303,72
7,300,73
8,298,78
6,295,83
6,290,86
7,286,87
4,288,87
2,290,91
1,287,93
2,284,94
0,285,93
1,285,96
1,282,97
1,281,99
1,279,100
2,277,104
0,275,107
0,272,110
1,268,111
1,267,117
0,262,120
0,259,121
1,257,120
3,256,120
4,255,119
4,256,120
2,257,118
6,255,117
5,257,119
5,255,119
5,255,124
4,251,126
5,248,125
6,248,126
6,247,130
5,244,133
6,240,138
7,234,143
5,231,145
7,227,144
8,227,144
7,228,145
6,228,144
9,226,146
11,222,143
11,225,142
9,228,140
10,229,141
10,228,140
9,230,139
8,232,139
9,231,135
14,230,134
11,234,133
11,235,135
11,233,137
9,233,136
10,233,136
8,235,135
10,234,136
11,232,139
10,230,140
8,231,138
11,230,139
9,231,137
12,230,134
14,231,134
12,233,138
11,230,142
10,227,143
8,228,141
10,228,146
6,227,148
6,225,147
8,224,150
6,223,150
7,222,150
9,220,151
8,220,150
11,218,152
11,216,152
11,216,153
9,217,153
10,216,152
10,217,152
10,217,154
9,216,155
11,213,154
10,215,151
13,215,155
12,212,157
10,212,153
15,211,151
13,215,152
14,213,153
12,214,157
12,210,153
17,209,157
14,208,156
13,210,158
12,209,161
10,208,164
8,207,164
9,206,162
11,206,161
13,205,163
11,205,165
8,206,163
11,205,163
11,205,162
11,206,163
11,205,164
11,204,162
11,206,161
10,208,161
7,211,161
8,210,162
9,208,164
8,207,164
9,206,166
6,207,167
6,206,167
8,204,169
6,204,167
9,203,168
7,204,168
10,201,168
8,203,164
10,205,166
9,204,168
8,203,168
7,204,171
7,201,172
6,201,170
8,201,172
10,197,172
8,199,171
8,200,169
9,201,173
9,197,174
9,196,171
11,197,171
11,197,172
9,198,173
9,197,172
9,198,171
10,198,171
7,201,169
9,201,173
8,198,173
8,198,168
13,198,166
12,201,166
9,204,167
9,203,170
8,201,173
8,198,177
7,195,175
8,196,177
7,195,175
9,195,175
9,195,175
7,197,174
9,196,175
8,196,174
8,197,175
7,197,176
9,194,175
7,197,178
7,194,177
10,192,175
14,190,177
10,192,177
6,196,176
6,197,174
8,197,176
9,194,174
11,194,175
10,194,173
12,194,174
9,196,174
10,195,177
10,192,181
8,190,179
11,189,180
10,189,183
10,186,182
10,187,184
10,185,184
12,183,187
11,181,184
13,182,181
17,181,181
14,184,177
14,188,178
13,188,179
14,186,180
14,185,180
15,184,182
11,186,182
13,184,179
15,185,178
15,186,178
16,185,179
16,184,180
17,182,181
17,181,181
17,181,182
17,180,182
17,180,179
20,180,179
15,185,180
15,184,180
15,184,180
12,187,181
14,184,180
16,183,178
18,183,178
19,182,179
17,183,179
17,183,178
18,183,176
20,183,176
21,182,177
20,182,176
21,182,174
22,183,177
20,182,178
19,182,179
20,180,182
20,177,182
19,178,182
22,175,178
23,178,178
21,180,181
22,176,183
19,177,182
20,177,178
23,178,180
22,177,184
20,175,183
21,175,180
25,174,179
25,175,180
22,177,180
24,175,179
24,176,182
22,175,179
25,175,179
25,175,181
24,174,179
24,176,181
25,173,182
23,174,178
26,175,179
23,177,176
27,176,175
29,175,177
25,177,179
23,177,179
21,179,178
21,180,176
24,179,177
21,181,177
23,179,177
22,180,178
22,179,179
23,177,176
26,177,174
23,182,175
24,180,176
21,182,175
20,184,176
21,182,176
19,184,176
18,185,178
18,183,181
16,182,183
17,179,185
19,175,186
20,173,182
22,175,183
22,174,185
21,173,185
22,172,186
22,171,184
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
379,0,0
379,0,0
379,0,0
378,1,0
377,2,0
377,2,0
369,10,0
358,21,0
355,24,0
349,30,1
323,55,1
294,84,1
252,126,2
218,159,2
178,199,2
151,226,9
139,231,12
122,245,12
101,266,12
81,286,12
70,297,13
67,299,15
56,308,16
38,325,22
28,329,26
22,331,29
19,331,34
16,329,38
16,325,40
15,324,43
15,321,45
14,320,47
10,322,48
5,326,48
4,327,50
0,329,55
0,324,56
1,322,55
1,323,58
0,321,56
3,320,59
1,319,59
3,317,61
1,317,64
2,313,63
3,313,67
0,312,72
2,305,75
3,301,76
1,302,76
3,300,76
2,301,78
3,298,78
3,298,79
2,298,80
2,297,82
3,294,81
2,296,82
1,296,89
1,289,90
0,289,93
0,286,91
4,284,92
1,286,94
1,284,93
2,284,91
2,286,95
3,281,98
1,280,100
0,279,103
1,275,105
1,273,104
3,272,105
3,271,108
2,269,106
4,269,108
3,268,111
2,266,114
2,263,114
2,263,115
3,261,116
4,259,119
2,258,121
2,256,122
2,255,125
2,252,125
6,248,126
3,250,127
1,251,128
0,251,129
0,250,131
2,246,136
379,0,0
379,0,0
379,0,0
378,1,0
377,2,0
377,2,0
369,10,0
358,21,0
355,24,0
349,30,1
323,55,1
294,84,1
252,126,2
218,159,2
178,199,2
151,226,9
139,231,12
122,245,12
101,266,12
81,286,12
70,297,13
67,299,15
56,308,16
38,325,22
28,329,26
22,331,29
19,331,34
16,329,38
16,325,40
15,324,43
15,321,45
14,320,47
10,322,48
5,326,48
4,327,50
0,329,55
0,324,56
1,322,55
1,323,58
0,321,56
3,320,59
1,319,59
3,317,61
1,317,64
2,313,63
379,0,0
379,0,0
379,0,0
378,1,0
377,2,0
377,2,0
369,10,0
358,21,0
355,24,0
349,30,1
323,55,1
294,84,1
252,126,2
218,159,2
178,199,2
151,226,9
139,231,12
122,245,12
101,266,12
81,286,12
70,297,13
67,299,15
56,308,16
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
37,320,23
28,328,24
16,339,28
10,341,31
6,342,32
7,340,34
7,338,33
8,338,34
7,338,40
6,333,43
6,330,45
6,328,45
8,326,48
8,323,49
6,324,51
7,321,54
6,319,57
8,314,61
6,312,61
7,311,69
7,303,72
7,300,73
8,298,78
6,295,83
6,290,86
7,286,87
4,288,87
2,290,91
1,287,93
2,284,94
0,285,93
1,285,96
1,282,97
1,281,99
1,279,100
2,277,104
0,275,107
0,272,110
1,268,111
1,267,117
0,262,120
0,259,121
1,257,120
3,256,120
4,255,119
4,256,120
2,257,118
6,255,117
5,257,119
5,255,119
5,255,124
4,251,126
5,248,125
6,248,126
6,247,130
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
37,320,23
28,328,24
16,339,28
10,341,31
6,342,32
7,340,34
7,338,33
8,338,34
7,338,40
6,333,43
6,330,45
6,328,45
8,326,48
8,323,49
6,324,51
7,321,54
6,319,57
8,314,61
6,312,61
7,311,69
7,303,72
7,300,73
8,298,78
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
37,320,23
28,328,24
16,339,28
10,341,31
6,342,32
7,340,34
7,338,33
8,338,34
7,338,40
6,333,43
6,330,45
6,328,45
8,326,48
8,323,49
6,324,51
7,321,54
6,319,57
8,314,61
6,312,61
7,311,69
7,303,72
7,300,73
8,298,78
6,295,83
6,290,86
7,286,87
4,288,87
2,290,91
1,287,93
2,284,94
0,285,93
1,285,96
1,282,97
1,281,99
1,279,100
2,277,104
0,275,107
0,272,110
1,268,111
1,267,117
0,262,120
0,259,121
1,257,120
3,256,120
4,255,119
4,256,120
2,257,118
6,255,117
5,257,119
5,255,119
5,255,124
4,251,126
5,248,125
6,248,126
6,247,130
5,244,133
6,240,138
7,234,143
5,231,145
7,227,144
8,227,144
7,228,145
6,228,144
9,226,146
11,222,143
11,225,142
9,228,140
10,229,141
10,228,140
9,230,139
8,232,139
9,231,135
14,230,134
11,234,133
11,235,135
11,233,137
9,233,136
10,233,136
8,235,135
10,234,136
11,232,139
10,230,140
8,231,138
11,230,139
9,231,137
12,230,134
14,231,134
12,233,138
11,230,142
10,227,143
8,228,141
10,228,146
6,227,148
6,225,147
8,224,150
6,223,150
7,222,150
9,220,151
8,220,150
11,218,152
11,216,152
11,216,153
9,217,153
10,216,152
10,217,152
10,217,154
9,216,155
11,213,154
10,215,151
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
309,67,4
288,87,4
272,103,4
256,119,6
237,136,6
218,155,7
190,182,8
168,203,10
151,218,14
113,252,15
94,270,18
78,283,20
64,295,20
51,308,22
37,320,23
28,328,24
16,339,28
10,341,31
6,342,32
7,340,34
7,338,33
8,338,34
7,338,40
6,333,43
6,330,45
6,328,45
8,326,48
8,323,49
6,324,51
7,321,54
6,319,57
8,314,61
6,312,61
7,311,69
7,303,72
7,300,73
8,298,78
6,295,83
6,290,86
7,286,87
4,288,87
2,290,91
1,287,93
2,284,94
0,285,93
1,285,96
1,282,97
1,281,99
1,279,100
2,277,104
0,275,107
0,272,110
1,268,111
1,267,117
0,262,120
0,259,121
1,257,120
3,256,120
4,255,119
4,256,120
2,257,118
6,255,117
5,257,119
5,255,119
5,255,124
4,251,126
5,248,125
6,248,126
6,247,130
5,244,133
6,240,138
7,234,143
5,231,145
7,227,144
8,227,144
7,228,145
6,228,144
9,226,146
11,222,143
11,225,142
379,0,0
379,0,0
379,0,0
377,2,0
377,2,0
375,4,0
372,7,0
363,16,0
356,23,1
346,32,2
334,43,2
322,55,3
